id,Date Invoiced,Date Paid,No. Days taken to Pay,Client Name,Invoice Reference,Invoice Amount,Paid Amount,Is Duplicate,Payment Status,Is Late,Invoice Month,Invoice Year,Payment Month,Payment Year,Is Outstanding,Amount Due
d482e913-6baf-43ef-aec4-55fc33d02b48,2018-02-28,2018-09-20,204,147,2018-20184158,10245.68,1176.92,True,Partially Paid,True,2018-02,2018,2018-09,2018,True,9068.76
1bfd656b-d3af-4fb0-af71-1cb1aa78d2ef,2017-10-03,2017-10-10,7,147,2017-20173933,24965.5,24965.5,True,Fully Paid,False,2017-10,2017,2017-10,2017,False,0.0
d7fbb079-000c-4b29-a207-dbdf89112d7c,2017-10-03,2017-10-10,7,147,2017-20173933,24965.5,24965.5,True,Fully Paid,False,2017-10,2017,2017-10,2017,False,0.0
b8528dea-82a4-4d24-bc9b-3a1ca0bf1ef5,2019-09-30,2019-10-14,14,147,2019-4917,20776.79,20776.79,True,Fully Paid,False,2019-09,2019,2019-10,2019,False,0.0
353fbd65-a5cb-4633-92d9-b217a53bba21,2018-01-31,2018-03-22,50,147,2018-20184106,7845.64,7845.64,True,Fully Paid,True,2018-01,2018,2018-03,2018,False,0.0
8c96830c-145d-4d48-a0e1-b7cf29dc3451,2018-02-28,2018-05-15,76,147,2018-20184158,18722.47,18722.47,True,Fully Paid,True,2018-02,2018,2018-05,2018,False,0.0
3e093e5f-6b3e-4910-abb2-c463b84dc836,2018-03-29,2018-09-20,175,147,2018-20184211,18722.47,18722.47,True,Fully Paid,True,2018-03,2018,2018-09,2018,False,0.0
8fda6e38-2d88-4f13-833b-fa52dfc2940a,2019-10-15,2019-10-27,12,147,2019-4925,18722.47,18722.47,True,Fully Paid,False,2019-10,2019,2019-10,2019,False,0.0
9b91e82d-0723-44cf-b55c-be0cbc2441f7,2019-10-30,2019-12-04,35,147,2019-4944,18722.47,18722.47,True,Fully Paid,True,2019-10,2019,2019-12,2019,False,0.0
4eaf488a-b885-42d3-8251-a0455379ec67,2019-11-28,2019-12-29,31,147,2019-4972,18722.47,18722.47,True,Fully Paid,True,2019-11,2019,2019-12,2019,False,0.0
403e56b3-4cda-439e-bb26-7d316a87e02c,2019-12-30,2020-01-28,29,147,2019-5010,18722.47,18722.47,True,Fully Paid,False,2019-12,2019,2020-01,2020,False,0.0
e26153d4-e64f-457b-9f01-e184314cb126,2018-02-28,2018-05-15,76,147,2018-20184158,5497.8,5497.8,True,Fully Paid,True,2018-02,2018,2018-05,2018,False,0.0
42bc003d-5193-4a5f-891d-6ea7b6f776e8,2018-03-29,2018-09-20,175,147,2018-20184211,5497.8,5497.8,True,Fully Paid,True,2018-03,2018,2018-09,2018,False,0.0
6d3be2eb-e66e-4309-9e52-5e6e11f9085c,2018-04-30,2018-09-20,143,147,2018-20184255,5497.8,5497.8,True,Fully Paid,True,2018-04,2018,2018-09,2018,False,0.0
e680166e-4c61-44c4-9b90-250b39a03a15,2015-01-29,2015-06-16,138,148,2015-20152287,52452.44,52452.44,False,Fully Paid,True,2015-01,2015,2015-06,2015,False,0.0
f38c78f6-3b35-4ced-9f9e-e246a0e39cf0,2015-02-17,2015-12-31,317,148,2015-20152296,50514.61,50514.61,False,Fully Paid,True,2015-02,2015,2015-12,2015,False,0.0
26305945-3cf9-4f54-af62-367260df4858,2015-04-30,2015-05-18,18,149,2015-20152362,11559.75,11559.75,False,Fully Paid,False,2015-04,2015,2015-05,2015,False,0.0
f583d877-b1c3-4fab-9361-af879a68d3bf,2017-02-12,2017-03-23,39,150,2017-20173525,257026.78,257026.78,True,Fully Paid,True,2017-02,2017,2017-03,2017,False,0.0
f3284651-d972-4924-9ac8-b734765ef816,2017-01-31,2017-02-12,12,150,2017-20173498,123568.68,123568.68,True,Fully Paid,False,2017-01,2017,2017-02,2017,False,0.0
d706f828-5666-48fb-a979-53c414bdc7a2,2017-02-12,2017-03-27,43,150,2017-20173526,123568.68,123568.68,True,Fully Paid,True,2017-02,2017,2017-03,2017,False,0.0
1d53732d-55d6-4492-8c32-52e02d09569d,2017-01-31,2017-02-12,12,150,2017-20173498,76979.34,76979.34,True,Fully Paid,False,2017-01,2017,2017-02,2017,False,0.0
2141b32b-e979-4dfe-981c-b1e2f8a60534,2017-01-22,2017-02-12,21,150,2017-20173478,52452.44,52452.44,True,Fully Paid,False,2017-01,2017,2017-02,2017,False,0.0
