Date Invoiced,Date Paid,No. Days taken to Pay,Client Name,Invoice Reference,Invoice Amount,Paid Amount,Is Duplicate,Payment Status,Is Late,Invoice Month,Invoice Year,Payment Month,Payment Year,Is Outstanding,Amount Due
2018-12-30,2019-02-21,53,113,2018-20184547,135824.47,135824.47,False,Fully Paid,True,2018-12,2018,2019-02,2019,False,0.0
2018-10-16,2018-10-21,5,113,2018-20184457,28174.11,28174.11,False,Fully Paid,False,2018-10,2018,2018-10,2018,False,0.0
2014-12-11,2015-01-25,45,114,2014-20142233,52657.44,52657.44,False,Fully Paid,True,2014-12,2014,2015-01,2015,False,0.0
2015-04-08,2017-07-19,833,114,2015-20152352,76726.33,76726.33,False,Fully Paid,True,2015-04,2015,2017-07,2017,False,0.0
2022-11-30,2023-03-15,105,115,2022-6189,63847.2,63847.2,False,Fully Paid,True,2022-11,2022,2023-03,2023,False,0.0
2023-02-28,2024-01-02,308,115,2023-6312,77327.17,77327.17,False,Fully Paid,True,2023-02,2023,2024-01,2024,False,0.0
2022-11-30,2023-03-15,105,115,2022-6191,114954.22,114954.22,True,Fully Paid,True,2022-11,2022,2023-03,2023,False,0.0
2023-02-28,2024-01-02,308,115,2023-6310,85193.25,85193.25,False,Fully Paid,True,2023-02,2023,2024-01,2024,False,0.0
2022-12-31,2023-03-15,74,115,2022-6228,59202.03,59202.03,False,Fully Paid,True,2022-12,2022,2023-03,2023,False,0.0
2022-02-14,2022-05-13,88,115,2022-5793,67416.19,67416.19,False,Fully Paid,True,2022-02,2022,2022-05,2022,False,0.0
2022-11-30,2023-03-15,105,115,2022-6183,50564.44,50564.44,False,Fully Paid,True,2022-11,2022,2023-03,2023,False,0.0
2022-08-31,2023-03-15,196,115,2022-6021,52141.02,52141.02,False,Fully Paid,True,2022-08,2022,2023-03,2023,False,0.0
2022-10-31,2023-03-15,135,115,2022-6134,57980.4,57980.4,False,Fully Paid,True,2022-10,2022,2023-03,2023,False,0.0
2023-07-31,2024-01-02,155,115,2023-6507,21059.08,21059.08,False,Fully Paid,True,2023-07,2023,2024-01,2024,False,0.0
2022-10-31,2023-03-15,135,115,2022-6138,16789.94,16789.94,False,Fully Paid,True,2022-10,2022,2023-03,2023,False,0.0
2023-04-28,2023-06-05,38,115,2023-6385,34693.34,34693.34,False,Fully Paid,True,2023-04,2023,2023-06,2023,False,0.0
2022-04-30,2022-06-03,34,115,2022-5892,28538.81,28538.81,False,Fully Paid,True,2022-04,2022,2022-06,2022,False,0.0
2023-06-30,2024-01-02,186,115,2023-6462,28538.81,28538.81,False,Fully Paid,True,2023-06,2023,2024-01,2024,False,0.0
2022-11-30,2023-03-15,105,115,2022-6190,24130.9,24130.9,False,Fully Paid,True,2022-11,2022,2023-03,2023,False,0.0
2023-02-28,2024-01-02,308,115,2023-6320,11847.49,11847.49,False,Fully Paid,True,2023-02,2023,2024-01,2024,False,0.0
2023-03-31,2023-05-12,42,115,2023-6356,11847.49,11847.49,False,Fully Paid,True,2023-03,2023,2023-05,2023,False,0.0
2022-06-30,2022-12-06,159,115,2022-5957,13855.39,13855.39,False,Fully Paid,True,2022-06,2022,2022-12,2022,False,0.0
2023-08-31,2024-01-02,124,115,2023-6533,13855.39,13855.39,False,Fully Paid,True,2023-08,2023,2024-01,2024,False,0.0
2023-09-30,2024-01-02,94,115,2023-6572,13855.39,13855.39,False,Fully Paid,True,2023-09,2023,2024-01,2024,False,0.0
2023-03-31,2023-05-12,42,115,2023-6362,10937.97,10937.97,False,Fully Paid,True,2023-03,2023,2023-05,2023,False,0.0
2022-11-30,2023-03-15,105,115,2022-6191,14058.76,14058.76,True,Fully Paid,True,2022-11,2022,2023-03,2023,False,0.0
2023-03-31,2023-05-12,42,115,2023-6344,9260.37,9260.37,False,Fully Paid,True,2023-03,2023,2023-05,2023,False,0.0
2024-02-14,2024-02-21,7,116,2024-6746,299492.66,299492.66,True,Fully Paid,False,2024-02,2024,2024-02,2024,False,0.0
2024-02-14,2024-02-21,7,116,2024-6746,121672.28,121672.28,True,Fully Paid,False,2024-02,2024,2024-02,2024,False,0.0
2024-02-14,2024-02-21,7,116,2024-6746,61553.79,61553.79,True,Fully Paid,False,2024-02,2024,2024-02,2024,False,0.0
2016-09-29,2021-12-31,1919,117,2016-20163290,456903.76,456903.76,False,Fully Paid,True,2016-09,2016,2021-12,2021,False,0.0
2015-12-31,2016-06-14,166,117,2015-20152833,233031.94,233031.94,True,Fully Paid,True,2015-12,2015,2016-06,2016,False,0.0
2016-08-30,2017-06-06,280,117,2016-20163230,155196.05,71562.62,True,Partially Paid,True,2016-08,2016,2017-06,2017,True,83633.43
2016-08-30,2017-09-24,390,117,2016-20163230,155196.05,83633.43,True,Partially Paid,True,2016-08,2016,2017-09,2017,True,71562.62
2016-08-30,2017-09-24,390,117,2016-20163230,354934.68,146276.11,True,Partially Paid,True,2016-08,2016,2017-09,2017,True,208658.57
2016-08-30,2021-12-31,1949,117,2016-20163230,354934.68,208658.57,True,Partially Paid,True,2016-08,2016,2021-12,2021,True,146276.11
2015-12-31,2016-06-14,166,117,2015-20152833,294228.91,294228.91,True,Fully Paid,True,2015-12,2015,2016-06,2016,False,0.0
2015-12-31,2016-06-14,166,117,2015-20152833,303230.46,303230.46,True,Fully Paid,True,2015-12,2015,2016-06,2016,False,0.0
2016-01-05,2017-09-24,628,117,2016-20162848,185172.92,89649.6,True,Partially Paid,True,2016-01,2016,2017-09,2017,True,95523.32
2016-01-05,2016-06-14,161,117,2016-20162848,185172.92,95523.32,True,Partially Paid,True,2016-01,2016,2016-06,2016,True,89649.6
2015-12-31,2016-06-14,166,117,2015-20152833,280076.17,280076.17,True,Fully Paid,True,2015-12,2015,2016-06,2016,False,0.0
2015-10-31,2016-03-21,142,117,2015-20152681,142281.18,142281.18,True,Fully Paid,True,2015-10,2015,2016-03,2016,False,0.0
2016-08-30,2017-06-06,280,117,2016-20163230,113586.99,113586.99,True,Fully Paid,True,2016-08,2016,2017-06,2017,False,0.0
2015-10-31,2016-03-21,142,117,2015-20152681,130087.92,130087.92,True,Fully Paid,True,2015-10,2015,2016-03,2016,False,0.0
2015-10-31,2016-03-21,142,117,2015-20152681,167146.81,1.74,True,Partially Paid,True,2015-10,2015,2016-03,2016,True,167145.07
2015-10-31,2016-03-21,142,117,2015-20152681,167146.81,167145.08,True,Partially Paid,True,2015-10,2015,2016-03,2016,True,1.7300000000104774
2015-07-28,2015-07-29,1,117,2015-20152526,109307.25,109307.25,True,Fully Paid,False,2015-07,2015,2015-07,2015,False,0.0
2015-07-28,2015-07-29,1,117,2015-20152526,146841.56,146841.56,True,Fully Paid,False,2015-07,2015,2015-07,2015,False,0.0
2015-07-28,2015-07-29,1,117,2015-20152526,164921.14,164921.14,True,Fully Paid,False,2015-07,2015,2015-07,2015,False,0.0
2016-01-31,2017-06-06,492,117,2016-20162863,148259.12,148259.12,False,Fully Paid,True,2016-01,2016,2017-06,2017,False,0.0
2015-07-28,2015-07-29,1,117,2015-20152526,69454.56,6.16,True,Partially Paid,False,2015-07,2015,2015-07,2015,True,69448.4
2015-07-28,2015-07-29,1,117,2015-20152526,69454.56,69448.4,True,Partially Paid,False,2015-07,2015,2015-07,2015,True,6.1600000000034925
2015-10-31,2016-03-21,142,117,2015-20152681,62890.31,62890.31,True,Fully Paid,True,2015-10,2015,2016-03,2016,False,0.0
2016-10-31,2017-09-24,328,117,2016-20163342,21487.28,21487.28,True,Fully Paid,True,2016-10,2016,2017-09,2017,False,0.0
2016-11-30,2021-12-31,1857,117,2016-20163379,41663.81,41663.81,False,Fully Paid,True,2016-11,2016,2021-12,2021,False,0.0
2016-10-31,2017-06-06,218,117,2016-20163342,33232.72,33232.72,True,Fully Paid,True,2016-10,2016,2017-06,2017,False,0.0
2018-09-30,2018-11-04,35,118,2018-20184435,125159.61,125159.61,True,Fully Paid,True,2018-09,2018,2018-11,2018,False,0.0
2018-08-26,2018-08-26,0,118,2018-20184395,87148.14,2417.16,True,Partially Paid,False,2018-08,2018,2018-08,2018,True,84730.98
2018-08-26,2018-08-26,0,118,2018-20184395,87148.14,3652.59,True,Partially Paid,False,2018-08,2018,2018-08,2018,True,83495.55
2018-08-26,2018-11-04,70,118,2018-20184395,87148.14,81078.38,True,Partially Paid,True,2018-08,2018,2018-11,2018,True,6069.759999999995
2018-04-30,2018-05-15,15,118,2018-20184268,52468.41,52468.41,True,Fully Paid,False,2018-04,2018,2018-05,2018,False,0.0
2018-04-30,2018-05-15,15,118,2018-20184268,71174.07,71174.07,True,Fully Paid,False,2018-04,2018,2018-05,2018,False,0.0
2018-01-31,2018-02-25,25,118,2018-20184119,75740.99,75740.99,True,Fully Paid,False,2018-01,2018,2018-02,2018,False,0.0
2018-01-31,2018-02-25,25,118,2018-20184119,51615.0,51615.0,True,Fully Paid,False,2018-01,2018,2018-02,2018,False,0.0
2018-08-26,2018-11-04,70,118,2018-20184395,54980.49,54980.49,True,Fully Paid,True,2018-08,2018,2018-11,2018,False,0.0
2018-09-30,2018-11-04,35,118,2018-20184435,16789.94,16789.94,True,Fully Paid,True,2018-09,2018,2018-11,2018,False,0.0
2018-09-30,2018-11-04,35,118,2018-20184435,8269.24,8269.24,True,Fully Paid,True,2018-09,2018,2018-11,2018,False,0.0
2014-12-31,2015-06-01,152,119,2014-20142244,408596.0,408596.0,False,Fully Paid,True,2014-12,2014,2015-06,2015,False,0.0
2015-01-28,2015-06-01,124,119,2015-20152280,490583.03,490583.03,False,Fully Paid,True,2015-01,2015,2015-06,2015,False,0.0
2015-03-15,2015-08-23,161,119,2015-20152323,216454.66,216454.66,False,Fully Paid,True,2015-03,2015,2015-08,2015,False,0.0
2014-11-30,2015-02-17,79,119,2014-20142222,348491.69,348491.69,False,Fully Paid,True,2014-11,2014,2015-02,2015,False,0.0
2015-12-31,2016-04-10,101,119,2015-20152826,117868.55,117868.55,False,Fully Paid,True,2015-12,2015,2016-04,2016,False,0.0
2015-04-09,2015-06-01,53,119,2015-20152354,73417.61,73417.61,False,Fully Paid,True,2015-04,2015,2015-06,2015,False,0.0
